
  Energy       1     2.9127648283E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99859226     2.54004677
    5   ->     7     0.05292624     5.15369300
    3   ->     7     0.00304739     7.36164626
    4   ->    12     0.00101321    28.64219926
    1   ->    12     0.00093092    38.87140154
    4   ->     8     0.00054261    17.25472991
    5   ->     9     0.00052007    19.20170543
    6   ->     8     0.00039276    13.54144847
    2   ->    12     0.00029910    32.61653381
    4   ->     9     0.00026932    20.30134065
    6   ->     9     0.00026636    16.58805921
    5   ->     8     0.00026371    16.15509469
    2   ->     7     0.00020368    10.22766277
    2   ->    11     0.00012999    27.48528102
    2   ->     8     0.00012286    21.22906447
    5   ->    10     0.00011916    21.33202105
    3   ->    10     0.00010304    23.53997432
    4   ->    11     0.00004870    23.51094647
    3   ->     9     0.00004716    21.40965870
    3   ->    11     0.00004093    24.61926452
    4   ->    10     0.00003820    22.43165627
    3   ->    12     0.00002957    29.75051731
    2   ->    10     0.00002599    26.40599082
    5   ->    11     0.00002231    22.41131125
    5   ->    12     0.00001955    27.54256404
    2   ->     9     0.00001954    24.27567520
    1   ->     7     0.00001845    16.48253050
    6   ->    10     0.00001828    18.71837483
    1   ->    11     0.00001056    33.74014875
    1   ->    10     0.00000802    32.66085855
    1   ->     8     0.00000427    27.48393219
    6   ->    12     0.00000114    24.92891782
    4   ->     7     0.00000098     6.25332821
    1   ->     9     0.00000035    30.53054293
    6   ->    11     0.00000013    19.79766503
    3   ->     8     0.00000008    18.36304796

  Energy       2     5.9988227175E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.95844081     5.15369300
    4   ->     7     0.27595250     6.25332821
    3   ->     7     0.07125003     7.36164626
    6   ->     7     0.01104442     2.54004677
    4   ->    12     0.00435997    28.64219926
    6   ->     8     0.00353887    13.54144847
    1   ->    12     0.00313977    38.87140154
    2   ->    12     0.00101337    32.61653381
    3   ->    10     0.00028681    23.53997432
    4   ->    11     0.00027870    23.51094647
    6   ->    10     0.00027308    18.71837483
    4   ->    10     0.00025603    22.43165627
    5   ->     8     0.00022244    16.15509469
    2   ->    11     0.00017472    27.48528102
    3   ->    11     0.00014756    24.61926452
    2   ->     9     0.00011120    24.27567520
    6   ->     9     0.00010400    16.58805921
    3   ->    12     0.00008834    29.75051731
    1   ->     9     0.00008810    30.53054293
    3   ->     8     0.00007731    18.36304796
    1   ->    11     0.00007090    33.74014875
    2   ->     8     0.00006562    21.22906447
    4   ->     8     0.00005529    17.25472991
    5   ->     9     0.00003897    19.20170543
    1   ->    10     0.00003785    32.66085855
    6   ->    12     0.00002944    24.92891782
    5   ->    12     0.00002889    27.54256404
    5   ->    11     0.00002037    22.41131125
    1   ->     7     0.00001754    16.48253050
    3   ->     9     0.00001736    21.40965870
    1   ->     8     0.00001576    27.48393219
    2   ->     7     0.00000964    10.22766277
    2   ->    10     0.00000932    26.40599082
    6   ->    11     0.00000522    19.79766503
    5   ->    10     0.00000074    21.33202105
    4   ->     9     0.00000002    20.30134065

  Energy       3     6.4080486282E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.98736997     6.25332821
    5   ->     7     0.15510037     5.15369300
    3   ->     7     0.03208173     7.36164626
    6   ->     8     0.00280373    13.54144847
    6   ->     7     0.00172304     2.54004677
    4   ->    12     0.00136799    28.64219926
    1   ->    12     0.00101649    38.87140154
    6   ->     9     0.00069524    16.58805921
    2   ->     9     0.00055705    24.27567520
    4   ->    10     0.00048100    22.43165627
    3   ->    10     0.00031819    23.53997432
    5   ->     9     0.00025920    19.20170543
    4   ->    11     0.00022742    23.51094647
    2   ->    12     0.00022002    32.61653381
    4   ->     9     0.00020166    20.30134065
    4   ->     8     0.00016304    17.25472991
    2   ->     7     0.00015416    10.22766277
    2   ->     8     0.00013520    21.22906447
    6   ->    10     0.00013512    18.71837483
    3   ->     9     0.00007909    21.40965870
    2   ->    11     0.00006826    27.48528102
    5   ->     8     0.00005921    16.15509469
    3   ->    12     0.00005862    29.75051731
    1   ->     8     0.00004897    27.48393219
    1   ->     9     0.00003188    30.53054293
    6   ->    12     0.00003060    24.92891782
    1   ->    10     0.00000880    32.66085855
    1   ->     7     0.00000747    16.48253050
    5   ->    10     0.00000630    21.33202105
    6   ->    11     0.00000357    19.79766503
    2   ->    10     0.00000257    26.40599082
    1   ->    11     0.00000253    33.74014875
    5   ->    11     0.00000216    22.41131125
    3   ->    11     0.00000070    24.61926452
    5   ->    12     0.00000029    27.54256404
    3   ->     8     0.00000007    18.36304796

  Energy       4     7.6171726110E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99916550     7.36164626
    5   ->     7     0.04054995     5.15369300
    6   ->     8     0.00261277    13.54144847
    4   ->     7     0.00250206     6.25332821
    4   ->    12     0.00233322    28.64219926
    6   ->     7     0.00171131     2.54004677
    1   ->    12     0.00140468    38.87140154
    2   ->    12     0.00061568    32.61653381
    6   ->    10     0.00023966    18.71837483
    3   ->     8     0.00021931    18.36304796
    1   ->    11     0.00018083    33.74014875
    5   ->     8     0.00013809    16.15509469
    5   ->     9     0.00008874    19.20170543
    4   ->     8     0.00008220    17.25472991
    1   ->     9     0.00005847    30.53054293
    4   ->    10     0.00005846    22.43165627
    2   ->     7     0.00004664    10.22766277
    3   ->    12     0.00004419    29.75051731
    4   ->    11     0.00003747    23.51094647
    1   ->    10     0.00003594    32.66085855
    3   ->     9     0.00002117    21.40965870
    5   ->    12     0.00002001    27.54256404
    2   ->     9     0.00001781    24.27567520
    6   ->    12     0.00001499    24.92891782
    1   ->     7     0.00001330    16.48253050
    5   ->    11     0.00001126    22.41131125
    1   ->     8     0.00000907    27.48393219
    2   ->     8     0.00000877    21.22906447
    6   ->    11     0.00000775    19.79766503
    3   ->    11     0.00000245    24.61926452
    3   ->    10     0.00000189    23.53997432
    2   ->    10     0.00000129    26.40599082
    6   ->     9     0.00000115    16.58805921
    2   ->    11     0.00000076    27.48528102
    5   ->    10     0.00000039    21.33202105
    4   ->     9     0.00000009    20.30134065

  Energy       5     1.0281355037E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999973    10.22766277
    6   ->     8     0.00038972    13.54144847
    5   ->     8     0.00035909    16.15509469
    4   ->     9     0.00035420    20.30134065
    6   ->     9     0.00021580    16.58805921
    5   ->     9     0.00017769    19.20170543
    3   ->    11     0.00011385    24.61926452
    2   ->     8     0.00010352    21.22906447
    4   ->     8     0.00008627    17.25472991
    2   ->    10     0.00008207    26.40599082
    6   ->    11     0.00006414    19.79766503
    2   ->     9     0.00004414    24.27567520
    4   ->     7     0.00003642     6.25332821
    5   ->    10     0.00002913    21.33202105
    3   ->     7     0.00002819     7.36164626
    1   ->     9     0.00002705    30.53054293
    5   ->    11     0.00001676    22.41131125
    3   ->     8     0.00001663    18.36304796
    6   ->     7     0.00001177     2.54004677
    1   ->    11     0.00001162    33.74014875
    6   ->    10     0.00000987    18.71837483
    1   ->    12     0.00000972    38.87140154
    3   ->    12     0.00000961    29.75051731
    3   ->    10     0.00000819    23.53997432
    2   ->    12     0.00000707    32.61653381
    1   ->    10     0.00000515    32.66085855
    3   ->     9     0.00000500    21.40965870
    4   ->    12     0.00000265    28.64219926
    4   ->    11     0.00000209    23.51094647
    2   ->    11     0.00000171    27.48528102
    4   ->    10     0.00000133    22.43165627
    5   ->    12     0.00000105    27.54256404
    1   ->     8     0.00000094    27.48393219
    5   ->     7     0.00000019     5.15369300
    1   ->     7     0.00000004    16.48253050
    6   ->    12     0.00000003    24.92891782

  Energy       6     1.4105032055E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99968827    13.54144847
    5   ->     8     0.02413666    16.15509469
    4   ->     8     0.00383699    17.25472991
    4   ->     9     0.00312119    20.30134065
    4   ->    10     0.00226521    22.43165627
    4   ->    12     0.00198566    28.64219926
    2   ->     9     0.00173513    24.27567520
    1   ->    12     0.00096405    38.87140154
    3   ->     8     0.00091064    18.36304796
    5   ->     7     0.00086776     5.15369300
    6   ->    10     0.00078305    18.71837483
    2   ->    10     0.00051936    26.40599082
    5   ->    10     0.00046172    21.33202105
    2   ->     8     0.00040630    21.22906447
    3   ->     7     0.00030955     7.36164626
    2   ->    12     0.00029438    32.61653381
    3   ->     9     0.00026123    21.40965870
    6   ->     9     0.00021997    16.58805921
    1   ->     9     0.00020629    30.53054293
    6   ->    11     0.00018276    19.79766503
    2   ->     7     0.00016960    10.22766277
    4   ->    11     0.00013744    23.51094647
    4   ->     7     0.00012528     6.25332821
    2   ->    11     0.00007973    27.48528102
    5   ->     9     0.00007218    19.20170543
    6   ->     7     0.00005287     2.54004677
    3   ->    11     0.00003930    24.61926452
    3   ->    12     0.00003695    29.75051731
    1   ->    11     0.00002809    33.74014875
    6   ->    12     0.00002284    24.92891782
    5   ->    11     0.00001756    22.41131125
    1   ->     7     0.00001083    16.48253050
    1   ->     8     0.00000813    27.48393219
