
  Energy       1     2.7021747274E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99777374     2.01268088
    5   ->     7     0.06260692     4.76665723
    4   ->     8     0.01724879    15.65105179
    3   ->     7     0.01277199     6.04636241
    4   ->     7     0.00731722     5.42593316
    1   ->     8     0.00341052    25.09335163
    2   ->     8     0.00106610    20.21940664
    6   ->     8     0.00051005    12.23779951
    6   ->    10     0.00049930    16.23185686
    5   ->     8     0.00049675    14.99177585
    3   ->    11     0.00035883    21.82572526
    6   ->     9     0.00021589    16.04377691
    1   ->    12     0.00013724    33.16950522
    4   ->    10     0.00012978    19.64510915
    1   ->    10     0.00010530    29.08740899
    2   ->    10     0.00006359    24.21346400
    5   ->     9     0.00005637    18.79775326
    6   ->    12     0.00003696    20.31395310
    6   ->    11     0.00002640    17.79204373
    4   ->     9     0.00001996    19.45702919
    3   ->    10     0.00001961    20.26553839
    3   ->     8     0.00001817    16.27148104
    5   ->    12     0.00001817    23.06792944
    1   ->     7     0.00001654    14.86823300
    2   ->    12     0.00001160    28.29556023
    4   ->    12     0.00000711    23.72720538
    2   ->     7     0.00000669     9.99428801
    1   ->    11     0.00000648    30.64759585
    2   ->    11     0.00000608    25.77365086
    4   ->    11     0.00000554    21.20529601
    5   ->    11     0.00000299    20.54602008
    3   ->     9     0.00000193    20.07745844
    5   ->    10     0.00000136    18.98583321
    1   ->     9     0.00000114    28.89932903
    3   ->    12     0.00000031    24.34763463
    2   ->     9     0.00000008    24.02538404

  Energy       2     5.0084331664E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99667405     4.76665723
    4   ->     7     0.07583483     5.42593316
    3   ->     7     0.02788126     6.04636241
    6   ->     7     0.00787029     2.01268088
    4   ->     8     0.00698665    15.65105179
    1   ->     8     0.00120921    25.09335163
    2   ->     8     0.00035735    20.21940664
    6   ->     8     0.00025998    12.23779951
    6   ->     9     0.00023918    16.04377691
    6   ->    10     0.00019466    16.23185686
    5   ->     8     0.00015182    14.99177585
    3   ->    11     0.00007751    21.82572526
    4   ->    10     0.00005223    19.64510915
    2   ->     9     0.00004701    24.02538404
    5   ->     9     0.00004236    18.79775326
    1   ->    10     0.00003584    29.08740899
    1   ->    12     0.00003550    33.16950522
    6   ->    11     0.00002257    17.79204373
    4   ->     9     0.00002160    19.45702919
    2   ->    10     0.00002054    24.21346400
    3   ->     9     0.00001686    20.07745844
    5   ->    11     0.00001424    20.54602008
    6   ->    12     0.00001401    20.31395310
    3   ->     8     0.00001242    16.27148104
    4   ->    12     0.00000759    23.72720538
    1   ->     9     0.00000750    28.89932903
    5   ->    12     0.00000409    23.06792944
    1   ->     7     0.00000356    14.86823300
    1   ->    11     0.00000339    30.64759585
    3   ->    10     0.00000321    20.26553839
    2   ->    12     0.00000271    28.29556023
    2   ->    11     0.00000161    25.77365086
    5   ->    10     0.00000033    18.98583321
    4   ->    11     0.00000029    21.20529601
    2   ->     7     0.00000003     9.99428801
    3   ->    12     0.00000000    24.34763463

  Energy       3     5.5059060547E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99822673     5.42593316
    3   ->     7     0.04251110     6.04636241
    5   ->     7     0.04152102     4.76665723
    4   ->     8     0.00282553    15.65105179
    6   ->     7     0.00196791     2.01268088
    1   ->     8     0.00050908    25.09335163
    6   ->     9     0.00015338    16.04377691
    2   ->     8     0.00013792    20.21940664
    6   ->     8     0.00013785    12.23779951
    5   ->     9     0.00008990    18.79775326
    4   ->    10     0.00006346    19.64510915
    3   ->    12     0.00005336    24.34763463
    4   ->     9     0.00005011    19.45702919
    6   ->    10     0.00004762    16.23185686
    5   ->     8     0.00003827    14.99177585
    2   ->     9     0.00003213    24.02538404
    2   ->    11     0.00003049    25.77365086
    3   ->     9     0.00001681    20.07745844
    6   ->    11     0.00001649    17.79204373
    1   ->     9     0.00001495    28.89932903
    6   ->    12     0.00001493    20.31395310
    3   ->    11     0.00001234    21.82572526
    1   ->    12     0.00001049    33.16950522
    3   ->     8     0.00000880    16.27148104
    2   ->    10     0.00000852    24.21346400
    4   ->    12     0.00000789    23.72720538
    5   ->    10     0.00000705    18.98583321
    5   ->    11     0.00000390    20.54602008
    1   ->    11     0.00000367    30.64759585
    4   ->    11     0.00000266    21.20529601
    1   ->    10     0.00000178    29.08740899
    2   ->    12     0.00000131    28.29556023
    5   ->    12     0.00000118    23.06792944
    3   ->    10     0.00000089    20.26553839
    2   ->     7     0.00000087     9.99428801
    1   ->     7     0.00000036    14.86823300

  Energy       4     6.2507524230E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99949981     6.04636241
    5   ->     7     0.02287310     4.76665723
    4   ->     7     0.01991574     5.42593316
    4   ->     8     0.00822587    15.65105179
    6   ->     7     0.00315297     2.01268088
    1   ->     8     0.00148071    25.09335163
    2   ->     8     0.00047382    20.21940664
    6   ->     8     0.00032511    12.23779951
    6   ->    10     0.00023872    16.23185686
    5   ->     8     0.00023645    14.99177585
    6   ->     9     0.00013558    16.04377691
    4   ->    12     0.00012873    23.72720538
    4   ->    10     0.00012690    19.64510915
    3   ->    12     0.00006489    24.34763463
    2   ->     7     0.00006049     9.99428801
    4   ->    11     0.00005288    21.20529601
    3   ->    10     0.00004371    20.26553839
    5   ->    11     0.00004116    20.54602008
    3   ->     8     0.00003663    16.27148104
    2   ->    12     0.00003083    28.29556023
    3   ->     9     0.00003011    20.07745844
    1   ->    10     0.00002076    29.08740899
    3   ->    11     0.00001856    21.82572526
    2   ->    11     0.00001654    25.77365086
    1   ->    11     0.00001512    30.64759585
    2   ->    10     0.00001505    24.21346400
    6   ->    12     0.00000737    20.31395310
    1   ->     9     0.00000511    28.89932903
    1   ->    12     0.00000506    33.16950522
    2   ->     9     0.00000482    24.02538404
    5   ->     9     0.00000317    18.79775326
    4   ->     9     0.00000194    19.45702919
    1   ->     7     0.00000082    14.86823300
    6   ->    11     0.00000056    17.79204373
    5   ->    12     0.00000011    23.06792944
    5   ->    10     0.00000001    18.98583321

  Energy       5     1.0009108812E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999999     9.99428801
    5   ->     9     0.00008597    18.79775326
    3   ->    12     0.00005721    24.34763463
    2   ->     9     0.00004430    24.02538404
    4   ->    11     0.00004376    21.20529601
    6   ->     9     0.00003564    16.04377691
    3   ->     9     0.00002675    20.07745844
    4   ->     9     0.00001975    19.45702919
    3   ->    11     0.00001927    21.82572526
    1   ->    11     0.00001913    30.64759585
    5   ->    11     0.00001784    20.54602008
    3   ->     7     0.00001709     6.04636241
    5   ->     8     0.00001292    14.99177585
    4   ->    12     0.00000661    23.72720538
    2   ->    10     0.00000641    24.21346400
    5   ->    12     0.00000544    23.06792944
    1   ->     7     0.00000522    14.86823300
    2   ->    12     0.00000505    28.29556023
    1   ->    12     0.00000441    33.16950522
    5   ->    10     0.00000436    18.98583321
    4   ->     8     0.00000436    15.65105179
    1   ->     8     0.00000363    25.09335163
    4   ->    10     0.00000275    19.64510915
    1   ->    10     0.00000182    29.08740899
    3   ->    10     0.00000156    20.26553839
    6   ->    11     0.00000147    17.79204373
    2   ->    11     0.00000138    25.77365086
    6   ->     8     0.00000120    12.23779951
    4   ->     7     0.00000112     5.42593316
    6   ->    10     0.00000099    16.23185686
    6   ->    12     0.00000091    20.31395310
    2   ->     8     0.00000061    20.21940664
    6   ->     7     0.00000053     2.01268088
    5   ->     7     0.00000031     4.76665723
    3   ->     8     0.00000012    16.27148104
    1   ->     9     0.00000000    28.89932903

  Energy       6     1.2270965395E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99999637    12.23779951
    4   ->     8     0.00266198    15.65105179
    6   ->     9     0.00022874    16.04377691
    5   ->    10     0.00019826    18.98583321
    1   ->     8     0.00016852    25.09335163
    5   ->     9     0.00013619    18.79775326
    4   ->    10     0.00011190    19.64510915
    2   ->     8     0.00009899    20.21940664
    5   ->     7     0.00002871     4.76665723
    2   ->    11     0.00002605    25.77365086
    3   ->     9     0.00002262    20.07745844
    3   ->    11     0.00002261    21.82572526
    3   ->     7     0.00002200     6.04636241
    2   ->    10     0.00001955    24.21346400
    4   ->     9     0.00001898    19.45702919
    3   ->     8     0.00001603    16.27148104
    6   ->     7     0.00001271     2.01268088
    4   ->     7     0.00001022     5.42593316
    2   ->     9     0.00001006    24.02538404
    3   ->    12     0.00000850    24.34763463
    4   ->    11     0.00000654    21.20529601
    1   ->    12     0.00000468    33.16950522
    5   ->    11     0.00000429    20.54602008
    6   ->    12     0.00000381    20.31395310
    2   ->    12     0.00000366    28.29556023
    1   ->     9     0.00000290    28.89932903
    3   ->    10     0.00000242    20.26553839
    4   ->    12     0.00000192    23.72720538
    6   ->    11     0.00000183    17.79204373
    5   ->     8     0.00000124    14.99177585
    5   ->    12     0.00000092    23.06792944
    2   ->     7     0.00000076     9.99428801
    1   ->    11     0.00000024    30.64759585
