
  Energy       1     3.4286508539E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99857739     3.17775286
    5   ->     7     0.05330305     4.99121179
    3   ->     7     0.00078788     7.44184076
    4   ->     8     0.00065852    16.36482757
    6   ->     9     0.00045792    17.35023208
    4   ->    12     0.00044262    27.67733661
    1   ->    12     0.00040073    37.96803689
    5   ->     9     0.00036829    19.16369102
    2   ->     8     0.00024728    20.39852620
    4   ->     9     0.00023420    20.44419730
    5   ->     8     0.00013661    15.08432129
    2   ->    12     0.00012973    31.71103524
    2   ->     7     0.00012718    10.30541670
    6   ->    10     0.00011909    18.34813740
    5   ->    11     0.00010597    21.84845769
    3   ->     9     0.00010472    21.61431998
    2   ->    11     0.00008455    27.16266259
    6   ->     8     0.00006159    13.27086236
    4   ->    11     0.00005581    23.12896397
    6   ->    11     0.00005136    20.03499875
    5   ->    10     0.00004240    20.16159633
    3   ->    10     0.00003570    22.61222530
    2   ->    10     0.00003456    25.47580124
    2   ->     9     0.00002406    24.47789592
    1   ->     8     0.00002194    26.65552785
    1   ->    11     0.00001711    33.41966424
    3   ->    12     0.00000862    28.84745930
    1   ->     7     0.00000782    16.56241835
    5   ->    12     0.00000773    26.39683033
    6   ->    12     0.00000651    24.58337139
    1   ->    10     0.00000354    31.73280289
    4   ->    10     0.00000286    21.44210261
    1   ->     9     0.00000226    30.73489758
    4   ->     7     0.00000109     6.27171807
    3   ->     8     0.00000048    17.53495026
    3   ->    11     0.00000017    24.29908665

  Energy       2     6.1269938995E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.74536802     4.99121179
    4   ->     7     0.66576675     6.27171807
    3   ->     7     0.02995828     7.44184076
    6   ->     7     0.01555550     3.17775286
    4   ->    12     0.00511692    27.67733661
    1   ->    12     0.00335285    37.96803689
    6   ->     8     0.00123580    13.27086236
    2   ->    12     0.00122393    31.71103524
    4   ->    11     0.00059987    23.12896397
    3   ->    10     0.00046070    22.61222530
    3   ->     8     0.00032841    17.53495026
    1   ->    11     0.00030500    33.41966424
    5   ->     8     0.00029021    15.08432129
    2   ->    11     0.00028966    27.16266259
    4   ->     9     0.00028310    20.44419730
    5   ->     9     0.00027506    19.16369102
    6   ->    10     0.00019535    18.34813740
    1   ->     9     0.00015893    30.73489758
    6   ->    11     0.00015685    20.03499875
    4   ->    10     0.00014459    21.44210261
    2   ->     7     0.00011738    10.30541670
    5   ->    11     0.00008259    21.84845769
    3   ->     9     0.00006382    21.61431998
    1   ->    10     0.00004983    31.73280289
    2   ->    10     0.00004799    25.47580124
    2   ->     8     0.00003195    20.39852620
    3   ->    12     0.00003166    28.84745930
    2   ->     9     0.00003021    24.47789592
    4   ->     8     0.00002679    16.36482757
    1   ->     7     0.00002510    16.56241835
    5   ->    12     0.00000931    26.39683033
    3   ->    11     0.00000740    24.29908665
    6   ->    12     0.00000424    24.58337139
    1   ->     8     0.00000281    26.65552785
    5   ->    10     0.00000175    20.16159633
    6   ->     9     0.00000010    17.35023208

  Energy       3     6.4973629185E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.89839954     6.27171807
    5   ->     7     0.43722680     4.99121179
    3   ->     7     0.03928766     7.44184076
    6   ->     7     0.00885323     3.17775286
    6   ->     8     0.00653509    13.27086236
    4   ->    12     0.00535103    27.67733661
    1   ->    12     0.00354293    37.96803689
    4   ->    11     0.00170937    23.12896397
    2   ->    12     0.00088650    31.71103524
    2   ->     9     0.00076490    24.47789592
    3   ->    10     0.00054630    22.61222530
    6   ->     9     0.00049677    17.35023208
    2   ->    11     0.00025602    27.16266259
    2   ->    10     0.00022903    25.47580124
    1   ->     9     0.00021082    30.73489758
    6   ->    11     0.00019626    20.03499875
    3   ->     9     0.00019004    21.61431998
    2   ->     8     0.00017004    20.39852620
    3   ->    11     0.00015942    24.29908665
    4   ->     8     0.00011511    16.36482757
    6   ->    10     0.00009788    18.34813740
    2   ->     7     0.00009326    10.30541670
    1   ->    10     0.00008302    31.73280289
    1   ->    11     0.00007866    33.41966424
    3   ->    12     0.00007496    28.84745930
    5   ->     8     0.00006479    15.08432129
    5   ->    11     0.00006186    21.84845769
    1   ->     8     0.00003481    26.65552785
    6   ->    12     0.00002951    24.58337139
    3   ->     8     0.00001240    17.53495026
    4   ->     9     0.00001229    20.44419730
    5   ->     9     0.00000530    19.16369102
    4   ->    10     0.00000394    21.44210261
    5   ->    10     0.00000378    20.16159633
    1   ->     7     0.00000040    16.56241835
    5   ->    12     0.00000014    26.39683033

  Energy       4     7.5491463529E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99973591     7.44184076
    5   ->     7     0.02286135     4.99121179
    4   ->     7     0.00120895     6.27171807
    4   ->    12     0.00118329    27.67733661
    6   ->     7     0.00114493     3.17775286
    6   ->     8     0.00086062    13.27086236
    1   ->    12     0.00061919    37.96803689
    2   ->    12     0.00029826    31.71103524
    5   ->     9     0.00013800    19.16369102
    1   ->    11     0.00012705    33.41966424
    4   ->     8     0.00010670    16.36482757
    3   ->     8     0.00009801    17.53495026
    4   ->    11     0.00007960    23.12896397
    1   ->     9     0.00006496    30.73489758
    6   ->     9     0.00004769    17.35023208
    3   ->    10     0.00004540    22.61222530
    3   ->    11     0.00002801    24.29908665
    2   ->    10     0.00002775    25.47580124
    6   ->    11     0.00002693    20.03499875
    5   ->     8     0.00002111    15.08432129
    4   ->     9     0.00001991    20.44419730
    1   ->    10     0.00001523    31.73280289
    1   ->     7     0.00001221    16.56241835
    5   ->    11     0.00001042    21.84845769
    4   ->    10     0.00000864    21.44210261
    2   ->    11     0.00000825    27.16266259
    2   ->     7     0.00000768    10.30541670
    5   ->    12     0.00000633    26.39683033
    6   ->    10     0.00000547    18.34813740
    1   ->     8     0.00000194    26.65552785
    5   ->    10     0.00000153    20.16159633
    2   ->     9     0.00000123    24.47789592
    3   ->    12     0.00000067    28.84745930
    2   ->     8     0.00000034    20.39852620
    6   ->    12     0.00000016    24.58337139
    3   ->     9     0.00000003    21.61431998

  Energy       5     1.0347064694E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999895    10.30541670
    6   ->     8     0.00134655    13.27086236
    5   ->     8     0.00042526    15.08432129
    4   ->     9     0.00026202    20.44419730
    6   ->     9     0.00012822    17.35023208
    5   ->     9     0.00007774    19.16369102
    2   ->     8     0.00005429    20.39852620
    4   ->     8     0.00005169    16.36482757
    2   ->    11     0.00004265    27.16266259
    2   ->     9     0.00004075    24.47789592
    3   ->     8     0.00003771    17.53495026
    4   ->     7     0.00003527     6.27171807
    3   ->    11     0.00003179    24.29908665
    2   ->    10     0.00002919    25.47580124
    6   ->    11     0.00002437    20.03499875
    5   ->    11     0.00002430    21.84845769
    4   ->    10     0.00001924    21.44210261
    1   ->     9     0.00001716    30.73489758
    6   ->    10     0.00001315    18.34813740
    3   ->     9     0.00001275    21.61431998
    6   ->     7     0.00001240     3.17775286
    1   ->    12     0.00001047    37.96803689
    3   ->    12     0.00000610    28.84745930
    4   ->    11     0.00000461    23.12896397
    2   ->    12     0.00000458    31.71103524
    3   ->     7     0.00000427     7.44184076
    1   ->     7     0.00000232    16.56241835
    5   ->     7     0.00000165     4.99121179
    3   ->    10     0.00000075    22.61222530
    5   ->    10     0.00000073    20.16159633
    1   ->    10     0.00000070    31.73280289
    5   ->    12     0.00000040    26.39683033
    4   ->    12     0.00000040    27.67733661
    1   ->     8     0.00000017    26.65552785
    6   ->    12     0.00000003    24.58337139
    1   ->    11     0.00000002    33.41966424

  Energy       6     1.3881652503E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99852329    13.27086236
    5   ->     8     0.05404827    15.08432129
    4   ->     9     0.00274362    20.44419730
    2   ->     9     0.00198815    24.47789592
    6   ->    10     0.00195191    18.34813740
    4   ->     8     0.00183604    16.36482757
    4   ->    12     0.00175069    27.67733661
    4   ->    11     0.00168510    23.12896397
    4   ->    10     0.00155581    21.44210261
    3   ->     8     0.00092691    17.53495026
    2   ->    10     0.00081278    25.47580124
    5   ->     7     0.00073773     4.99121179
    2   ->     7     0.00060218    10.30541670
    1   ->    12     0.00049186    37.96803689
    2   ->     8     0.00030325    20.39852620
    5   ->    10     0.00023685    20.16159633
    4   ->     7     0.00021661     6.27171807
    1   ->     9     0.00020917    30.73489758
    1   ->    10     0.00018781    31.73280289
    2   ->    11     0.00018531    27.16266259
    1   ->     7     0.00012869    16.56241835
    3   ->    10     0.00011824    22.61222530
    2   ->    12     0.00011733    31.71103524
    3   ->     7     0.00008324     7.44184076
    6   ->    11     0.00007453    20.03499875
    5   ->     9     0.00006509    19.16369102
    6   ->     7     0.00003704     3.17775286
    3   ->     9     0.00003030    21.61431998
    3   ->    12     0.00002337    28.84745930
    5   ->    11     0.00002302    21.84845769
    1   ->    11     0.00001258    33.41966424
    6   ->    12     0.00000171    24.58337139
    6   ->     9     0.00000054    17.35023208
